"Country Name","Income Level","Region","Year","CO2 emissions (metric tons per capita)","Agriculture, forestry, and fishing, value added (% of GDP)","Energy intensity level of primary energy","Land Surface Temperature","Nitrous oxide emissions","Methane emissions","Population ages 65 and above (% of total population)","Unemployment, total (% of total labor force)","Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Government expenditure on education, total","Control of Corruption: Estimate","Government Effectiveness: Estimate","GDP growth (annual %)","Regulatory Quality: Estimate","Rule of Law: Estimate","Voice and Accountability: Estimate","Political Stability and Absence of Violence/Terrorism","School enrollment, primary and secondary, gender parity index","ESG_Score","ESG_Rank"
Iceland,High Income,Europe & Central Asia,2016,4.859303764,4.576942156,12.07,2.68686842,1.103032146,1.639642415,13.9315021,2.980000019,2.2,82.20487805,1.74,16.00481987,1.944353461,1.379790545,6.303687107,1.273493886,1.510742784,1.356110215,1.361623883,1.001019955,127.71011724800005,1
Sweden,High Income,Europe & Central Asia,2016,3.908058712,1.398744426,3.96,3.68755091,0.55023211,0.518991835,19.70746034,6.989999771,2.8,82.30731707,1.85,15.61890984,2.147402525,1.69272089,2.070593151,1.851178288,1.982941985,1.564685822,1.017940879,1.071339965,116.086401843,2
Norway,High Income,Europe & Central Asia,2016,7.404691495,2.092314505,3.57,0.6874845,0.645713579,0.909348161,16.51993153,4.679999828,2.6,82.40731707,1.71,15.83950996,2.19155407,1.861883521,1.071558977,1.69484961,2.025863886,1.664896011,1.200074434,0.98536998,114.487885991,3
Finland,High Income,Europe & Central Asia,2016,8.316193077,2.310613375,5.55,3.93761841,0.888031106,0.913507405,20.68212386,8.819999695,2.4,81.42926829,1.57,12.31231022,2.228350401,1.870932937,2.811457767,1.814362049,2.039246798,1.531785488,0.999086499,1.057610035,109.791798026,4
Switzerland,High Income,Europe & Central Asia,2016,4.737656377,0.658010472,1.72,12.4378562,0.292595378,0.622213034,18.01296278,4.920000076,4.2,83.60243902,1.54,15.36046982,1.983234882,2.000655413,2.068689667,1.908908963,1.937358022,1.531843781,1.306290388,0.976130009,104.31667215200001,5
Japan,High Income,East Asia & Pacific,2016,9.189697811,1.124981308,3.54,15.3130861,0.147549498,0.224668696,27.94592014,3.099999905,2.7,83.98487805,1.44,8.196087837,1.519624949,1.8146981,0.753826746,1.424855232,1.412507772,0.983630776,0.982944191,1.005270004,102.574223095,6
Canada,High Income,North America,2016,15.42060171,1.862225893,7.1,-2.2509888,1.114388582,2.615656017,16.3953224,7.0,5.3,81.9,1.59,12.03549957,1.984779,1.774251819,1.001394414,1.735729814,1.831270456,1.44514811,1.256058574,1.008180022,100.54020256300001,7
Greenland,High Income,Europe & Central Asia,2016,6.166190299,0.961160974,2.25,12.3435815,0.914802872,1.422832645,19.03934162,5.989999771,4.1,80.85365854,1.79,14.2475996,2.24552083,1.850564837,3.245956985,1.572224855,1.913999796,1.541412592,0.867915452,1.009670019,98.871619013,8
United Kingdom,High Income,Europe & Central Asia,2016,5.804004752,0.573304506,2.53,12.0619738,0.428277972,0.78644636,17.97395859,4.809999943,4.4,81.15609756,1.79,13.44863987,1.890425801,1.603366613,2.165206211,1.757630944,1.668957114,1.295394897,0.360454053,0.992589428,97.33532275999998,9
Monaco,High Income,Europe & Central Asia,2016,4.161114426,10.77149544,4.845896739,19.216087,0.485930447,1.607468924,35.04134015,7.684058763,3.4,71.94023987,2.71318913,6.596549988,-0.07192454,-0.071405694,3.451551047,-0.074645987,-0.074012627,0.836897433,1.014576674,0.992589428,95.931299231,10
Estonia,High Income,Europe & Central Asia,2016,12.15239497,2.113609997,5.94,8.65646964,1.033599587,0.835999684,19.18562259,6.760000229,2.8,77.64146341,1.6,13.09148026,1.266897917,1.085860014,3.155564814,1.695028782,1.218502283,1.208045721,0.673907757,1.00454998,95.442069415,11
New Zealand,High Income,East Asia & Pacific,2016,6.616321362,5.551643928,4.27,14.3099124,3.203156488,7.017246522,14.70806741,5.150000095,5.4,81.61243902,1.87,16.83169937,2.278953552,1.83559823,3.767447717,2.03535533,1.944261789,1.533273816,1.519183397,1.037799954,95.359086646,12
Germany,High Income,Europe & Central Asia,2016,9.073006686,0.69843113,3.04,14.5623764,0.43801558,0.629275498,21.1361288,4.119999886,3.9,80.9902439,1.6,10.91053963,1.820955515,1.689760208,2.229999868,1.813969851,1.612499833,1.36436975,0.681363404,0.963729978,94.62931781699999,13
Austria,High Income,Europe & Central Asia,2016,7.288819983,1.110316479,2.98,12.8141586,0.453262045,0.836703414,18.48506262,6.010000229,3.6,81.64146341,1.53,10.94363022,1.534534812,1.504635811,1.989437162,1.437176466,1.790404201,1.337476611,0.909638762,0.971989989,94.102822272,14
Netherlands,High Income,Europe & Central Asia,2016,9.309281866,1.766532032,3.38,14.6219753,0.504981881,1.024056311,18.24688947,6.010000229,4.0,81.56097561,1.66,12.80685997,1.898642421,1.84961915,2.191713719,1.973211288,1.876885533,1.540332079,0.912267506,1.009220004,93.88285319500002,15
Solomon Islands,Lower Middle Income,East Asia & Pacific,2016,0.573155338,34.44693736,4.66,26.0630908,0.031841962,0.620918236,3.448962111,0.698000014,22.0,69.801,4.293,30.11687088,-0.340169489,-0.996183038,5.554731534,-0.970826149,-0.279953063,0.46746549,0.506028414,0.992589428,93.127447128,16
Czechia,High Income,Europe & Central Asia,2016,9.627750042,2.087047124,4.44,14.81161,0.528092435,1.180163586,18.56179246,3.950000048,3.2,79.02682927,1.63,13.97130013,0.587125123,1.040519714,2.53728452,0.982883334,1.01292634,1.025373697,0.976115525,1.007210016,92.32879114200001,17
Slovenia,High Income,Europe & Central Asia,2016,6.731097778,1.98017136,3.95,14.6864003,0.392243838,0.876495462,18.32661888,8.0,2.5,81.17560976,1.58,10.38195992,0.817337096,1.122145534,3.191852518,0.636555076,1.075280309,1.010924101,0.990436018,1.017590046,90.91024323999999,18
Latvia,High Income,Europe & Central Asia,2016,3.648821173,3.259542151,3.31,9.9053096,0.990029788,1.046165473,20.2239855,9.640000343,4.7,74.5804878,1.74,12.89328957,0.425309509,1.000541806,2.368614747,1.076778889,0.95198983,0.842557549,0.479069233,0.993120015,90.73496022200003,19
Chile,High Income,Latin America & Caribbean,2016,4.782712706,4.199089371,3.54,16.752091,0.359989137,0.603299759,11.33669078,6.739999771,7.7,80.079,1.676,21.15559959,1.056977987,0.864224792,1.753038749,1.371998668,0.984509945,0.995688796,0.413110524,0.98852998,90.12436680899998,20
Lithuania,High Income,Europe & Central Asia,2016,3.904845812,3.108761353,3.3,11.3439543,1.283020789,1.167967261,19.50373823,7.860000134,4.8,74.67073171,1.69,12.02523994,0.708135486,1.065135598,2.518828273,1.132786036,1.022138238,1.000034928,0.828279972,0.968819976,89.80284144400001,21
Belgium,High Income,Europe & Central Asia,2016,8.314931808,0.628433476,4.12,14.9671608,0.407715819,0.745713981,18.38894723,7.829999924,4.1,81.43902439,1.68,12.16495037,1.569267988,1.427392483,1.266686409,1.337367177,1.42132771,1.37702024,0.441367298,1.069659948,88.605922387,22
South Korea,High Income,East Asia & Pacific,2016,12.02472517,1.859034883,5.8,16.6870558,0.195439855,0.447500649,13.36362334,3.650000095,3.4,82.27560976,1.172,14.30253983,0.451095492,1.059131384,2.946881715,1.110880136,1.153191805,0.641597271,0.163468957,0.994819999,88.54515300300001,23
France,High Income,Europe & Central Asia,2016,4.70474678,1.437114867,3.56,17.3742626,0.564263853,0.932196868,19.52716296,10.05000019,4.2,82.57317073,1.92,9.559823036,1.364643693,1.410835743,1.095464404,1.066853166,1.378255963,1.136472464,-0.095359094,1.002500057,85.271467698,24
Albania,Upper Middle Income,Europe & Central Asia,2016,1.557664358,19.84999447,2.68,19.0618451,0.424185382,1.074371141,13.97133627,15.42000008,9.4,78.86,1.551,13.59696007,-0.44898048,0.059715111,3.314980684,0.196168706,-0.304018438,0.170948684,0.344644666,0.993550003,84.79623368499998,25
Malta,High Income,Middle East & North Africa,2016,2.964713376,0.926848242,1.35,27.1142154,0.131765037,0.483138465,18.69586598,4.690000057,6.6,82.45365854,1.37,14.16854954,0.715547621,0.951220751,3.381115768,1.153371334,0.990640938,1.196370125,1.080441356,1.031039953,84.74083781300001,26
